date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:41:43	1268/1268	---M--	404	error ('NOT%20FOUND')	text/html	date:Tue,%2022%20Jan%202019%2011:41:43%20GMT	http://127.0.0.1:48626/icons/SOP/file.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/SOP/file.a2.delayed	(from http://127.0.0.1:48626/nodes/obj/guidegroom.html)
12:41:45	182240/-1	---M--	200	added ('OK')	image/x-png	etag:%22/images/char/onionskinning2.png.2017-10-21%2005:51:00%22	http://127.0.0.1:48626/images/char/onionskinning2.png	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/images/char/onionskinning2.png	(from http://127.0.0.1:48626/nodes/obj/geo.html)
12:41:48	21581/-1	---M--	200	added ('OK')	image/svg+xml	etag:%22/icons/FUR/paint_clumping.svg.2017-10-21%2005:54:30%22	http://127.0.0.1:48626/icons/FUR/paint_clumping.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/FUR/paint_clumping.svg	(from http://127.0.0.1:48626/nodes/obj/guidesim.html)
12:41:48	1277/1277	---M--	404	error ('NOT%20FOUND')	text/html	date:Tue,%2022%20Jan%202019%2011:41:48%20GMT	http://127.0.0.1:48626/icons/OBJ/jump_generate.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/OBJ/jump_generate.a4.delayed	(from http://127.0.0.1:48626/icons/OBJ/hairgen.svg)
12:41:56	73168/-1	---M--	200	added ('OK')	image/svg+xml	etag:%22/icons/ROP/mantra.svg.2017-10-21%2005:54:34%22	http://127.0.0.1:48626/icons/ROP/mantra.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/ROP/mantra.svg	(from http://127.0.0.1:48626/nodes/obj/indirectlight.html)
12:41:56	24624/-1	---M--	200	added ('OK')	image/svg+xml	etag:%22/icons/SHOP/vopmaterial.svg.2017-10-21%2005:55:00%22	http://127.0.0.1:48626/icons/SHOP/vopmaterial.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/SHOP/vopmaterial.svg	(from http://127.0.0.1:48626/nodes/obj/instance.html)
12:41:56	8893/-1	---M--	200	added ('OK')	image/x-png	etag:%22/nodes/images/cone_angle.png.2017-10-21%2005:51:32%22	http://127.0.0.1:48626/nodes/images/cone_angle.png	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/nodes/images/cone_angle.png	(from http://127.0.0.1:48626/nodes/obj/hlight.html)
12:41:59	1279/1279	---M--	404	error ('NOT%20FOUND')	text/html	date:Tue,%2022%20Jan%202019%2011:41:59%20GMT	http://127.0.0.1:48626/home/jimmac/Desktop/wi-fi.png	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/home/jimmac/Desktop/wi-fi.a8.delayed	(from http://127.0.0.1:48626/icons/OBJ/microphone.svg)
12:42:01	1280/1280	---M--	404	error ('NOT%20FOUND')	text/html	date:Tue,%2022%20Jan%202019%2011:42:01%20GMT	http://127.0.0.1:48626/icons/SHELF/Motion_Capture.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/SHELF/Motion_Capture.a9.delayed	(from http://127.0.0.1:48626/icons/SHELF/motion_capture.svg)
12:42:06	15399/-1	---M--	200	added ('OK')	image/svg+xml	etag:%22/icons/SHELF/point_to_point_muscle.svg.2017-10-21%2005:54:56%22	http://127.0.0.1:48626/icons/SHELF/point_to_point_muscle.svg	C:/Users/popo/Desktop/M-A-R-C/Temp/houdini2/127.0.0.1_48626/icons/SHELF/point_to_point_muscle.svg	(from http://127.0.0.1:48626/nodes/obj/riggedmuscle.html)
